# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jan 07 12:41:12 MST 2024 [seed=1704656285705]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
27000	-7703.171157194442	-19.127512457979577	-7684.043644736462	0.2844897135496028	2.593261252161982	0.9021051331257831	1.9763754964646667	0.24673955828518127	0.2503744793012433	0.11382433604852363	0.3890616263650521	1.0	1.0	-7684.043644736462	0.0	-19.166439923381237
28000	-7701.474647824124	-17.643815676547124	-7683.830832147577	0.26704056505678847	2.466716458847882	0.6671846490703967	2.2840641381405105	0.24889605736759166	0.25230616791269733	0.11412794719098203	0.38466982752872925	1.0	1.0	-7683.830832147577	0.0	-17.862531945686122
29000	-7701.708288429885	-20.053357223335635	-7681.65493120655	0.2707651445544841	2.6777577262182284	0.8647151512137105	2.142301205684579	0.24244398301305467	0.2514386724308456	0.1200444534415685	0.3860728911145314	1.0	1.0	-7681.65493120655	0.0	-20.06836488384347
30000	-7698.694754007251	-20.006842051610825	-7678.68791195564	0.26428713669491716	2.5491066606013892	1.0924522132011432	2.0792382088535724	0.22816686324379368	0.25172333276547415	0.11587166829998603	0.4042381356907463	1.0	1.0	-7678.68791195564	0.0	-19.813109540393146
31000	-7698.599996453002	-18.419711908534953	-7680.180284544467	0.26971209729634416	2.4758101307094327	0.9561675555654089	2.051824202924242	0.23903430159721548	0.24510663074914907	0.12237811392637862	0.39348095372725694	1.0	1.0	-7680.180284544467	0.0	-18.37016592003648
32000	-7701.740606257789	-19.330764241459732	-7682.40984201633	0.27520857395944265	2.5777397911280775	0.9415440974979614	1.9835194495455672	0.23024734705972838	0.24581352147292213	0.1283485988363146	0.395590532631035	1.0	1.0	-7682.40984201633	0.0	-19.32402529869063
33000	-7701.229793686151	-17.72119551342779	-7683.508598172723	0.2710114462194535	2.496995811944191	0.8657434427338799	2.112878329346714	0.22839983487250665	0.24787442982525568	0.1250971771026544	0.3986285581995834	1.0	1.0	-7683.508598172723	0.0	-17.746675382428837
34000	-7703.498867429969	-18.49584327432441	-7685.003024155645	0.25670934910419363	2.441455637778243	0.900090248843955	2.072290262389109	0.23489937214158052	0.2420738034018834	0.13056320062787316	0.39246362382866307	1.0	1.0	-7685.003024155645	0.0	-18.498565402042786
35000	-7703.4839607805125	-19.187983019625758	-7684.295977760887	0.2657621407088555	2.545894347851964	0.813645929643975	2.057298813188501	0.24088523898508798	0.2465193077829737	0.13056320062787316	0.38203225260406526	1.0	1.0	-7684.295977760887	0.0	-19.297657680433204
36000	-7711.200585566121	-20.612163613214197	-7690.588421952907	0.22725720562920873	2.3822080994949224	1.2908952352383078	1.9175343037506216	0.24841045049189833	0.24714770169054417	0.13172615280379257	0.372715695013765	1.0	1.0	-7690.588421952907	0.0	-20.316497541600523
37000	-7715.17634034601	-19.718448152412204	-7695.457892193598	0.24729007383763468	2.537559735192767	0.6825548009426162	2.072299247093773	0.24989828356049779	0.26168356623312383	0.12763073146046794	0.3607874187459105	1.0	1.0	-7695.457892193598	0.0	-19.99781891395779
38000	-7712.085268313355	-18.96810782141329	-7693.117160491942	0.24777444702450724	2.4787756861319465	0.740449906272624	2.1290755563525146	0.2577661209799837	0.2571244529490851	0.1183624355814634	0.36674699048946796	1.0	1.0	-7693.117160491942	0.0	-19.14349433514601
39000	-7715.049633264752	-19.858777054049117	-7695.190856210703	0.26472097404713946	2.5822837869589503	0.9326319711721345	2.38717144173959	0.26072469232999973	0.24199808005961082	0.1151686220005457	0.3821086056098439	1.0	1.0	-7695.190856210703	0.0	-19.70269096332698
40000	-7706.814126727824	-19.290837100722282	-7687.523289627102	0.268789305888831	2.555577985124385	0.7142661506857036	2.1739648752636884	0.25330475043613754	0.24504090772933293	0.12261251393897908	0.3790418278955506	1.0	1.0	-7687.523289627102	0.0	-19.48448428726295
41000	-7700.467581988456	-17.86611498831829	-7682.601467000138	0.2663597931792273	2.4706166415539252	0.8271852135222234	2.050539801613649	0.2473726999635363	0.23344011754491856	0.1265243287367148	0.39266285375483045	1.0	1.0	-7682.601467000138	0.0	-17.96198686728176
42000	-7709.816082284397	-20.567573562804956	-7689.248508721593	0.2846852997928559	2.698351792397753	0.9311369138274134	2.1181565182478868	0.24522915523175384	0.25188781838804064	0.12166487735643282	0.3812181490237728	1.0	1.0	-7689.248508721593	0.0	-20.518141043042277
43000	-7708.533917709529	-18.17586065523615	-7690.358057054294	0.28534318011061555	2.514102243949983	0.6538439726114267	2.195360428559914	0.2517017677997046	0.24258849347394648	0.1266406092168927	0.37906912950945637	1.0	1.0	-7690.358057054294	0.0	-18.44947099489259
44000	-7709.874615001135	-18.92482250415274	-7690.949792496982	0.26588730463384097	2.5517900040788026	0.654097180237501	1.8424532908305336	0.25037964440881383	0.24433091620344444	0.11128431486015958	0.3940051245275823	1.0	1.0	-7690.949792496982	0.0	-19.339502913524328
45000	-7705.607786071734	-18.7600102084686	-7686.847775863265	0.28099781465168844	2.581872016023393	0.8526946337341474	2.084969700448757	0.2603165083380331	0.23053266918237175	0.11863467323793027	0.39051614924166494	1.0	1.0	-7686.847775863265	0.0	-18.81177337063301
46000	-7703.55615826511	-18.58528084281212	-7684.970877422298	0.26766320259839405	2.547744460457372	0.8415840576764052	2.117445093982719	0.2537700914361527	0.23859651759263653	0.1180768463111116	0.3895565446600992	1.0	1.0	-7684.970877422298	0.0	-18.637251010737778
47000	-7710.561488613045	-17.758237789340498	-7692.803250823705	0.2600879006700962	2.4839279574038167	0.7402858931058929	2.105831571515023	0.25417508229065444	0.21932208286524332	0.12872969545346116	0.397773139390641	1.0	1.0	-7692.803250823705	0.0	-17.943068280651207
48000	-7702.728897016224	-17.62624881301193	-7685.102648203212	0.2611256162064165	2.444991287365628	0.7533316328519889	1.9803916625304647	0.25755600887879565	0.2159411562771021	0.13205039035518334	0.39445244448891886	1.0	1.0	-7685.102648203212	0.0	-17.843784563609013
49000	-7707.426211755445	-19.76574336276721	-7687.660468392678	0.24486109236345685	2.495132015540836	0.6539768092399335	2.032474433558045	0.25939430225324306	0.23119668415600284	0.11572167625889597	0.39368733733185807	1.0	1.0	-7687.660468392678	0.0	-20.10379951327525
50000	-7708.938047226231	-18.751080235300076	-7690.186966990931	0.24560079536790425	2.4459571607618344	0.660415219695746	2.031379609978703	0.25358212565183536	0.24409558417777621	0.11443267910543925	0.38788961106494907	1.0	1.0	-7690.186966990931	0.0	-19.079777975911696
51000	-7707.838700789988	-21.196115501108128	-7686.64258528888	0.26377647925522046	2.657023635261416	0.6441766320350027	2.017334065005724	0.255641468766303	0.24403711111549237	0.11592465075007716	0.38439676936812733	1.0	1.0	-7686.64258528888	0.0	-21.55533848176909
